Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Bldg ID,Bldg Name,Ownership,Room Number,Square Feet,Room Function,Shared with other schools?,Inside v outside,Space used for any other purpose beside PE,Location 1
Queens,27,27,27Q333,Goldie Maple Academy,K-8,Q198,I.S. 198 - QUEENS,DOE Owned,OUTDOOR YARD 1,"98,176",OUTDOOR YARD,N,Outside,N,
Queens,30,30,30Q078,P.S./I.S. 78Q,K-8,Q312,P.S./I.S. 78 - QUEENS,DOE Owned,530,"4,984",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q334,Epic High School - North,High school,Q636,RICHMOND HILL HS ANNEX - QUEENS,Tax Levy Lease,GYM,"5,088",GYM/AUDITORIUM,N,Inside,Y,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,C151B,297,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,C343/5,"1,560",MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,E192/6,"1,917",DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,E209/11,"1,539",DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,G11,729,MULTI-PURPOSE NON CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,G25,"1,632",SWIMMING POOL,Y,Inside,N,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-A,"5,265",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-B,"2,600",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-C,"2,600",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-D/E,"6,192",GYM/AUDITORIUM,Y,Inside,Y,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-F,"6,675",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-G,"3,600",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q351,Rockaway Collegiate High School,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,H,"3,375",WEIGHT ROOM,Y,Inside,N,
Queens,27,27,27Q362,Wave Preparatory Elementary School,Elementary,Q215,P.S. 215 - QUEENS,DOE Owned,118,660,DANCE ROOM,N,Inside,N,
Queens,27,27,27Q362,Wave Preparatory Elementary School,Elementary,Q215,P.S. 215 - QUEENS,DOE Owned,116AB,462,MULTI-PURPOSE NON CLASSROOM,N,Inside,Y,
